公司代码 	公司简称 	代码	简称	上市日期	总股本	流通股本	
603803	  瑞斯康达	  603803	  瑞斯康达	  2017-04-20	  42105.56	  21979.16	  
603806	  福斯特	  603806	  福斯特	  2014-09-05	  52260.00	  52260.00	  
603808	  歌力思	  603808	  歌力思	  2015-04-22	  33252.21	  33251.56	  
603809	  豪能股份	  603809	  豪能股份	  2017-11-28	  20907.32	  11507.16	  
603810	  丰山集团	  603810	  丰山集团	  2018-09-17	  8000.00	  2000.00	  
603811	  诚意药业	  603811	  诚意药业	  2017-03-15	  11928.00	  8026.20	  
603813	  原尚股份	  603813	  原尚股份	  2017-09-18	  8975.00	  4681.00	  
603816	  顾家家居	  603816	  顾家家居	  2016-10-14	  60212.75	  13096.84	  
603817	  海峡环保	  603817	  海峡环保	  2017-02-20	  45000.00	  18000.00	  
603818	  曲美家居	  603818	  曲美家居	  2015-04-22	  49135.00	  48412.00	  
603819	  神力股份	  603819	  神力股份	  2016-11-25	  16842.69	  7784.69	  
603822	  嘉澳环保	  603822	  嘉澳环保	  2016-04-28	  7335.50	  7335.50	  
603823	  百合花	  603823	  百合花	  2016-12-20	  22500.00	  7034.32	  
603825	  华扬联众	  603825	  华扬联众	  2017-08-02	  23102.18	  9238.54	  
603826	  坤彩科技	  603826	  坤彩科技	  2017-04-14	  46800.00	  18945.76	  
603828	  柯利达	  603828	  柯利达	  2015-02-26	  42564.19	  42120.00	  
603829	  洛凯股份	  603829	  洛凯股份	  2017-10-17	  16000.00	  7240.00	  
603833	  欧派家居	  603833	  欧派家居	  2017-03-28	  42019.16	  9210.81	  
603838	  四通股份	  603838	  四通股份	  2015-07-01	  26668.00	  26668.00	  
603839	  安正时尚	  603839	  安正时尚	  2017-02-14	  40213.54	  10551.42	  
603843	  正平股份	  603843	  正平股份	  2016-09-05	  40000.30	  19283.63	  
603848	  好太太	  603848	  好太太	  2017-12-01	  40100.00	  7110.50	  
603855	  华荣股份	  603855	  华荣股份	  2017-05-24	  33107.00	  20154.00	  
603856	  东宏股份	  603856	  东宏股份	  2017-11-06	  25641.46	  9142.90	  
603858	  步长制药	  603858	  步长制药	  2016-11-18	  88634.00	  42618.56	  
603859	  能科股份	  603859	  能科股份	  2016-10-21	  12626.03	  4989.00	  
603860	  中公高科	  603860	  中公高科	  2017-08-02	  6668.00	  2418.00	  
603861	  白云电器	  603861	  白云电器	  2016-03-22	  44274.06	  40910.00	  
603863	  松炀资源	  603863	  松炀资源	  2019-06-21	  20589.40	  5147.40	  
603866	  桃李面包	  603866	  桃李面包	  2015-12-22	  65887.64	  65887.64	  
603867	  新化股份	  603867	  新化股份	  2019-06-27	  14000.00	  3500.00	  
603868	  飞科电器	  603868	  飞科电器	  2016-04-18	  43560.00	  43560.00	  
603869	  新智认知	  603869	  新智认知	  2015-03-26	  34880.63	  28287.88	  
603871	  嘉友国际	  603871	  嘉友国际	  2018-02-06	  15680.00	  3920.00	  
603876	  鼎胜新材	  603876	  鼎胜新材	  2018-04-18	  43000.00	  23562.52	  
603877	  太平鸟	  603877	  太平鸟	  2017-01-09	  48075.93	  20049.38	  
603878	  武进不锈	  603878	  武进不锈	  2016-12-19	  28625.63	  14141.42	  
603879	  永悦科技	  603879	  永悦科技	  2017-06-14	  20041.20	  11221.20	  
603880	  南卫股份	  603880	  南卫股份	  2017-08-07	  16900.00	  8242.98	  
603881	  数据港	  603881	  数据港	  2017-02-08	  21058.65	  12784.46	  
603882	  金域医学	  603882	  金域医学	  2017-09-08	  45788.46	  27963.94	  
603883	  老百姓	  603883	  老百姓	  2015-04-23	  28655.64	  26700.00	  
603885	  吉祥航空	  603885	  吉祥航空	  2015-05-27	  179701.35	  179701.35	  
603886	  元祖股份	  603886	  元祖股份	  2016-12-28	  24000.00	  12120.90	  
603887	  城地股份	  603887	  城地股份	  2016-10-10	  25729.09	  8296.65	  
603888	  新华网	  603888	  新华网	  2016-10-28	  51902.94	  17647.00	  
603889	  新澳股份	  603889	  新澳股份	  2014-12-31	  51174.64	  51174.64	  
603890	  春秋电子	  603890	  春秋电子	  2017-12-12	  26852.00	  13549.48	  
603895	  天永智能	  603895	  天永智能	  2018-01-22	  10808.00	  3276.71	  
603896	  寿仙谷	  603896	  寿仙谷	  2017-05-10	  14387.16	  6204.00	  
603897	  长城科技	  603897	  长城科技	  2018-04-10	  17840.00	  5553.67	  
603898	  好莱客	  603898	  好莱客	  2015-02-17	  30960.07	  30960.07	  
603899	  晨光文具	  603899	  晨光文具	  2015-01-27	  92000.00	  92000.00	  
603900	  莱绅通灵	  603900	  莱绅通灵	  2016-11-23	  34047.38	  8511.85	  
603901	  永创智能	  603901	  永创智能	  2015-05-29	  43938.90	  18400.00	  
603903	  中持股份	  603903	  中持股份	  2017-03-14	  14461.44	  10380.00	  
603906	  龙蟠科技	  603906	  龙蟠科技	  2017-04-10	  30467.52	  11199.05	  
603908	  牧高笛	  603908	  牧高笛	  2017-03-07	  6669.00	  2304.93	  
603909	  合诚股份	  603909	  合诚股份	  2016-06-28	  10250.00	  10000.00	  
603912	  佳力图	  603912	  佳力图	  2017-11-01	  21700.30	  10908.80	  
603915	  国茂股份	  603915	  国茂股份	  2019-06-14	  46332.74	  8438.00	  
603916	  苏博特	  603916	  苏博特	  2017-11-10	  31064.00	  12895.00	  
603917	  合力科技	  603917	  合力科技	  2017-12-04	  15680.00	  8025.79	  
603918	  金桥信息	  603918	  金桥信息	  2015-05-28	  23332.53	  23025.47	  
603919	  金徽酒	  603919	  金徽酒	  2016-03-10	  39020.00	  36400.00	  
603920	  世运电路	  603920	  世运电路	  2017-04-26	  40930.20	  12821.00	  
603922	  金鸿顺	  603922	  金鸿顺	  2017-10-23	  12800.00	  3200.00	  
603926	  铁流股份	  603926	  铁流股份	  2017-05-10	  16044.60	  8595.41	  
603928	  兴业股份	  603928	  兴业股份	  2016-12-12	  20160.00	  6277.15	  
603929	  亚翔集成	  603929	  亚翔集成	  2016-12-30	  21336.00	  9656.00	  
603933	  睿能科技	  603933	  睿能科技	  2017-07-06	  20123.32	  5031.32	  
603936	  博敏电子	  603936	  博敏电子	  2015-12-09	  31503.83	  23429.00	  
603937	  丽岛新材	  603937	  丽岛新材	  2017-11-02	  20888.00	  7585.83	  
603938	  三孚股份	  603938	  三孚股份	  2017-06-28	  15016.66	  5078.66	  
603939	  益丰药房	  603939	  益丰药房	  2015-02-17	  37680.60	  36269.47	  
603955	  大千生态	  603955	  大千生态	  2017-03-10	  11310.00	  7132.02	  
603956	  威派格	  603956	  威派格	  2019-02-22	  42596.01	  4259.61	  
603958	  哈森股份	  603958	  哈森股份	  2016-06-29	  21989.66	  21736.00	  
603959	  百利科技	  603959	  百利科技	  2016-05-17	  43904.00	  43904.00	  
603960	  克来机电	  603960	  克来机电	  2017-03-14	  17576.00	  6735.10	  
603963	  大理药业	  603963	  大理药业	  2017-09-22	  16900.00	  9928.75	  
603966	  法兰泰克	  603966	  法兰泰克	  2017-01-25	  21097.96	  9388.30	  
603967	  中创物流	  603967	  中创物流	  2019-04-29	  26666.67	  6666.67	  
603968	  醋化股份	  603968	  醋化股份	  2015-05-18	  20448.00	  20448.00	  
603969	  银龙股份	  603969	  银龙股份	  2015-02-27	  84100.00	  84100.00	  
603970	  中农立华	  603970	  中农立华	  2017-11-16	  19200.01	  9552.01	  
603976	  正川股份	  603976	  正川股份	  2017-08-22	  15120.00	  3829.99	  
603977	  国泰集团	  603977	  国泰集团	  2016-11-11	  39123.40	  17595.20	  
603978	  深圳新星	  603978	  深圳新星	  2017-08-07	  16000.00	  7612.17	  
603979	  金诚信	  603979	  金诚信	  2015-06-30	  58340.84	  58340.84	  
603980	  吉华集团	  603980	  吉华集团	  2017-06-15	  70000.00	  34388.63	  
603982	  泉峰汽车	  603982	  泉峰汽车	  2019-05-22	  20000.00	  5000.00	  
603985	  恒润股份	  603985	  恒润股份	  2017-05-05	  14560.00	  9318.40	  
603986	  兆易创新	  603986	  兆易创新	  2016-08-18	  30758.25	  20850.17	  
603987	  康德莱	  603987	  康德莱	  2016-11-21	  44160.90	  26610.00	  
603988	  中电电机	  603988	  中电电机	  2014-11-04	  23520.00	  23520.00	  
603989	  艾华集团	  603989	  艾华集团	  2015-05-15	  39000.22	  39000.22	  
603990	  麦迪科技	  603990	  麦迪科技	  2016-12-08	  11288.88	  8438.08	  
603991	  至正股份	  603991	  至正股份	  2017-03-08	  7453.50	  4107.89	  
603993	  洛阳钼业	  603993	  洛阳钼业	  2012-10-09	  2159924.06	  2159924.06	  
603996	  ST中新	  603996	  ST中新	  2015-12-22	  30015.00	  30015.00	  
603997	  继峰股份	  603997	  继峰股份	  2015-03-02	  63941.32	  63187.09	  
603998	  方盛制药	  603998	  方盛制药	  2014-12-05	  43782.27	  42519.67	  
603999	  读者传媒	  603999	  读者传媒	  2015-12-10	  57600.00	  57600.00	  
